word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
ambiguity,1.40000,0.45000,1.25000,0.42000,1.40000,0.12000,1
ambiguous,1.50000,0.35000,1.63640,0.03360,1.40000,0.12000,1
ambition,2.20000,0.35000,2.00000,0.33000,1.80000,0.28000,1
ambitions,2.80000,0.95000,2.25000,0.58000,1.60000,0.08000,1
ambitious,2.12500,0.27500,2.50000,0.83000,1.40000,0.12000,1
amen,2.50000,0.65000,2.33330,0.66330,2.40000,0.88000,1
amended,1.66670,0.18330,1.50000,0.17000,1.00000,0.52000,1
amendment,1.60000,0.25000,1.60000,0.07000,1.60000,0.08000,1
amends,2.25000,0.40000,1.66670,0.00330,1.60000,0.08000,1
american,1.57140,0.27860,2.00000,0.33000,3.00000,1.48000,1
amiably,2.20000,0.35000,1.50000,0.17000,1.20000,0.32000,1
amid,1.77780,0.07220,2.00000,0.33000,1.00000,0.52000,1
ammunition,1.00000,0.85000,2.33330,0.66330,2.60000,1.08000,1
amnesia,1.00000,0.85000,1.62500,0.04500,2.40000,0.88000,1
among,1.83330,0.01670,1.66670,0.00330,1.60000,0.08000,1
amount,1.66670,0.18330,1.77780,0.10780,2.80000,1.28000,1
amounts,1.57140,0.27860,2.00000,0.33000,2.60000,1.08000,1
ample,2.33330,0.48330,2.11110,0.44110,1.80000,0.28000,1
amputate,1.00000,0.85000,2.83330,1.16330,3.00000,1.48000,1
amusing,3.00000,1.15000,2.62500,0.95500,2.60000,1.08000,1
an,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
anaemia,1.40000,0.45000,2.00000,0.33000,1.00000,0.52000,1
analogy,1.57140,0.27860,1.57140,0.09860,1.20000,0.32000,1
analyses,1.50000,0.35000,2.33330,0.66330,1.20000,0.32000,1
analysis,2.00000,0.15000,2.00000,0.33000,1.40000,0.12000,1
analytic,1.42860,0.42140,1.57140,0.09860,1.00000,0.52000,1
analyze,1.71430,0.13570,2.42860,0.75860,1.00000,0.52000,1
analyzed,1.66670,0.18330,2.16670,0.49670,1.00000,0.52000,1
anchor,1.71430,0.13570,1.85710,0.18710,3.00000,1.48000,1
anchored,1.72730,0.12270,1.54550,0.12450,2.20000,0.68000,1
ancient,1.71430,0.13570,1.42860,0.24140,2.80000,1.28000,1
and,1.66670,0.18330,1.55560,0.11440,1.00000,0.52000,1
and/or,1.66670,0.18330,1.55560,0.11440,1.00000,0.52000,1
angel,2.83330,0.98330,2.33330,0.66330,3.00000,1.48000,1
angels,2.33330,0.48330,2.33330,0.66330,3.00000,1.48000,1
anger,1.00000,0.85000,2.88890,1.21890,2.00000,0.48000,1
angered,1.00000,0.85000,1.87500,0.20500,2.00000,0.48000,1
angle,1.71430,0.13570,2.00000,0.33000,2.80000,1.28000,1
angles,1.50000,0.35000,1.25000,0.42000,2.60000,1.08000,1
anglican,2.11110,0.26110,1.88890,0.21890,1.60000,0.08000,1
anglo-saxon,1.88890,0.03890,1.77780,0.10780,1.60000,0.08000,1
angrier,1.00000,0.85000,2.87500,1.20500,2.20000,0.68000,1
angry,1.00000,0.85000,2.50000,0.83000,2.80000,1.28000,1
angular,1.33330,0.51670,1.66670,0.00330,1.00000,0.52000,1
animal,2.25000,0.40000,2.25000,0.58000,3.00000,1.48000,1
animals,2.37500,0.52500,2.50000,0.83000,3.00000,1.48000,1
annihilate,1.11110,0.73890,2.44440,0.77440,1.60000,0.08000,1
anniversary,3.00000,1.15000,2.00000,0.33000,2.40000,0.88000,1
announce,1.87500,0.02500,2.37500,0.70500,1.80000,0.28000,1
announced,1.85710,0.00710,2.14290,0.47290,2.00000,0.48000,1
announcement,2.00000,0.15000,2.00000,0.33000,2.00000,0.48000,1
annoys,1.16670,0.68330,2.83330,1.16330,1.40000,0.12000,1
annual,1.66670,0.18330,1.33330,0.33670,1.40000,0.12000,1
annually,1.90000,0.05000,1.60000,0.07000,1.20000,0.32000,1
anonymous,1.57140,0.27860,1.57140,0.09860,1.00000,0.52000,1
another,1.62500,0.22500,1.75000,0.08000,1.00000,0.52000,1
answer,2.00000,0.15000,2.20000,0.53000,1.80000,0.28000,1
answered,2.12500,0.27500,2.12500,0.45500,1.80000,0.28000,1
answering,1.57140,0.27860,2.28570,0.61570,1.80000,0.28000,1
answers,1.88890,0.03890,1.88890,0.21890,1.80000,0.28000,1
antenna,1.77780,0.07220,1.88890,0.21890,3.00000,1.48000,1
anti,1.00000,0.85000,2.00000,0.33000,1.00000,0.52000,1
anti-semitism,1.37500,0.47500,2.50000,0.83000,1.00000,0.52000,1
anti-slavery,1.42860,0.42140,2.83330,1.16330,1.60000,0.08000,1
anticipate,2.00000,0.15000,2.00000,0.33000,1.80000,0.28000,1
anticipated,2.14290,0.29290,1.71430,0.04430,1.20000,0.32000,1
anticipation,1.62500,0.22500,2.25000,0.58000,2.00000,0.48000,1
anticlimax,1.30000,0.55000,1.80000,0.13000,1.20000,0.32000,1
antique,1.90000,0.05000,1.30000,0.37000,3.00000,1.48000,1
anxiety,1.00000,0.85000,2.80000,1.13000,1.40000,0.12000,1
anxious,1.00000,0.85000,2.50000,0.83000,1.80000,0.28000,1
any,1.40000,0.45000,1.40000,0.27000,1.00000,0.52000,1
anybody,1.90910,0.05910,1.81820,0.14820,1.20000,0.32000,1
anyhow,1.33330,0.51670,1.50000,0.17000,1.00000,0.52000,1
anyone,1.40000,0.45000,1.40000,0.27000,1.20000,0.32000,1
anything,1.57140,0.27860,1.85710,0.18710,1.20000,0.32000,1
anyway,1.57140,0.27860,1.71430,0.04430,1.00000,0.52000,1
anyways,1.55560,0.29440,1.66670,0.00330,1.00000,0.52000,1
anywhere,1.75000,0.10000,1.62500,0.04500,1.20000,0.32000,1
apart,1.11110,0.73890,2.11110,0.44110,2.80000,1.28000,1
apartment,1.57140,0.27860,2.14290,0.47290,3.00000,1.48000,1
apartments,1.50000,0.35000,1.90000,0.23000,3.00000,1.48000,1
apologize,1.83330,0.01670,2.33330,0.66330,1.40000,0.12000,1
apologizes,2.00000,0.15000,2.66670,0.99670,1.60000,0.08000,1
apologizing,2.00000,0.15000,2.11110,0.44110,1.60000,0.08000,1
apparatus,1.70000,0.15000,1.80000,0.13000,1.60000,0.08000,1
apparent,1.75000,0.10000,1.87500,0.20500,1.00000,0.52000,1
apparently,1.75000,0.10000,1.87500,0.20500,1.00000,0.52000,1
appeal,1.66670,0.18330,2.33330,0.66330,1.00000,0.52000,1
appealed,1.75000,0.10000,2.25000,0.58000,1.40000,0.12000,1
appealing,2.22220,0.37220,2.77780,1.10780,1.60000,0.08000,1
appeals,2.14290,0.29290,2.14290,0.47290,1.00000,0.52000,1
appear,1.60000,0.25000,1.80000,0.13000,1.40000,0.12000,1
appearance,2.14290,0.29290,2.14290,0.47290,2.20000,0.68000,1
appearances,1.60000,0.25000,1.80000,0.13000,2.40000,0.88000,1
appeared,1.60000,0.25000,1.60000,0.07000,1.60000,0.08000,1
appearing,2.10000,0.25000,2.20000,0.53000,1.40000,0.12000,1
appears,1.87500,0.02500,1.62500,0.04500,1.80000,0.28000,1
appendix,1.20000,0.65000,1.40000,0.27000,1.40000,0.12000,1
appetite,2.00000,0.15000,2.25000,0.58000,2.00000,0.48000,1
appetizer,2.33330,0.48330,2.00000,0.33000,2.80000,1.28000,1
applause,1.77780,0.07220,2.88890,1.21890,3.00000,1.48000,1
applicable,1.50000,0.35000,1.33330,0.33670,1.20000,0.32000,1
applicants,1.50000,0.35000,2.16670,0.49670,2.40000,0.88000,1
application,1.75000,0.10000,1.87500,0.20500,2.00000,0.48000,1
applications,1.50000,0.35000,2.33330,0.66330,2.00000,0.48000,1
applied,1.50000,0.35000,1.66670,0.00330,1.40000,0.12000,1
applies,1.40000,0.45000,1.60000,0.07000,1.20000,0.32000,1
apply,1.83330,0.01670,2.08330,0.41330,1.20000,0.32000,1
applying,1.85710,0.00710,2.00000,0.33000,1.20000,0.32000,1
appointment,1.33330,0.51670,2.00000,0.33000,2.00000,0.48000,1
appreciate,2.66670,0.81670,2.11110,0.44110,1.60000,0.08000,1
appreciated,2.66670,0.81670,1.83330,0.16330,1.20000,0.32000,1
